DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0309059,0.8297843,-0.2295626,-0.02538826,-0.03888026,0.05997843,-1.000872,0.06665282,0.1457904,0.2135151
0.0289228,-0.03444789,-0.01929771,0.1369445,-0.04193345,0.06106352,-1.000902,0.06565649,0.1452322,0.217476
0.0239456,0.040034,-0.01770637,-0.4593221,-0.04069507,0.06010137,-1.002242,0.06661513,0.1448082,0.2064772
0.0259689,0.3421726,-0.1110255,-0.6840174,-0.03573962,0.06205478,-0.9988586,0.07550097,0.141925,0.188714
0.0268905,-0.3667824,-0.03849252,0.2759306,-0.03912965,0.06303338,-1.001467,0.06563801,0.1408899,0.1961339
0.0299207,-0.1639326,0.08833707,0.205714,-0.04204892,0.06351437,-1.002357,0.06073304,0.1435331,0.202289
0.026956,0.08000312,-0.03442839,-0.4608314,-0.03986849,0.06412717,-1.001224,0.0628896,0.142605,0.1898669
0.0259361,0.582027,0.02885944,-0.2845608,-0.03959361,0.06353509,-1.003798,0.07798511,0.1433535,0.1824865
0.0249336,1.232848,0.03780473,0.009155376,-0.03890034,0.06192429,-0.999756,0.1087244,0.1442961,0.1827147
0.0269291,-0.1040577,0.01015108,0.2929298,-0.03758249,0.06069228,-0.9971744,0.1059223,0.1445695,0.1906031
0.0239365,-1.416601,0.2084443,0.6301246,-0.04252676,0.06204972,-1.002741,0.0720138,0.1495589,0.205686
0.0278895,0.1735161,0.1405102,-0.5975854,-0.04163818,0.06182987,-1.005796,0.07685307,0.1534777,0.1890197
0.0298867,0.9154631,0.2305873,-0.3026583,-0.03574147,0.06217603,-0.9987352,0.1042132,0.1603692,0.1799742
0.02992,-0.03785849,1.040709,0.4166343,-0.04037091,0.06166869,-0.9990403,0.1030805,0.1915072,0.1924399
0.0289573,-0.08231022,1.063517,-0.3069635,-0.03897234,0.05999593,-1.00357,0.100697,0.2223037,0.1835511
0.0278925,0.5122349,0.7946143,0.06059517,-0.03642186,0.06024577,-1.002679,0.1149846,0.2444675,0.1852413
0.0259604,0.9761893,0.5513378,0.4790765,-0.03872121,0.05718677,-1.003219,0.1403268,0.2587805,0.1976783
0.0258987,0.982184,0.501253,-0.03351587,-0.0373201,0.0594808,-0.9984053,0.1657641,0.2717623,0.1968102
0.0238996,-0.08005615,0.6916285,-0.0006686907,-0.03429173,0.06388756,-0.9980929,0.1638508,0.2882919,0.1967943
0.0259646,-0.4856311,1.537068,0.4994561,-0.03871107,0.06380109,-1.006483,0.1512416,0.3282013,0.2097625
0.0279255,0.773269,1.200878,-0.272108,-0.03768929,0.0643721,-0.999847,0.1728355,0.3617364,0.2021637
0.0279239,0.5398655,1.607984,-0.7853447,-0.0333208,0.06437858,-0.9978325,0.1879107,0.4066376,0.1802338
0.0289532,-0.07587693,1.51926,-0.1954566,-0.03300627,0.06001686,-1.002639,0.1857138,0.450625,0.1745747
0.0259356,0.3342425,1.130096,0.4057583,-0.03300938,0.05842412,-1.001792,0.1943826,0.4799348,0.1850983
0.0259237,0.1641391,1.265366,0.0470901,-0.03665112,0.05829554,-1.003308,0.1986377,0.5127378,0.1863191
0.0249333,0.2104417,1.104898,-0.65051,-0.03214019,0.05794781,-1.003011,0.2038847,0.5402865,0.1700997
0.0249684,0.2824325,1.397947,0.03941753,-0.03118715,0.05916228,-1.001397,0.2109366,0.575191,0.1710839
0.0289132,0.4812357,1.75171,0.06364649,-0.03492956,0.0605145,-1.005356,0.2248506,0.6258386,0.1729241
0.0239289,1.092756,1.108035,-0.6406718,-0.03033953,0.05965194,-1.001016,0.2509991,0.6523526,0.1575935
0.0239169,0.8215375,1.347009,-0.4388126,-0.02757069,0.06049932,-0.9980345,0.2706477,0.6845689,0.1470985
0.024934,0.3116894,3.019776,-0.03201786,-0.03227603,0.06038636,-1.002628,0.2784194,0.759864,0.1463002
0.0279525,0.7654256,2.78655,-0.9032968,-0.02869214,0.0567595,-1.005551,0.2998149,0.837755,0.1210508
0.0229122,1.527219,1.462517,-0.8237711,-0.02458177,0.05589969,-1.001952,0.3348069,0.8712645,0.1021764
0.0249689,1.142933,1.245293,-0.03228629,-0.02743052,0.05867527,-0.999026,0.3633447,0.9023581,0.1013702
0.023903,0.6824272,1.832321,-0.2381737,-0.02883767,0.05686709,-1.003468,0.3796567,0.9461561,0.09567714
0.0279236,0.8440316,1.802089,-0.4898819,-0.02218571,0.06151383,-1.000046,0.4032251,0.9964769,0.08199787
0.0269665,0.3140149,1.797808,0.488495,-0.02565312,0.05750147,-1.004896,0.411693,1.044958,0.09517087
0.0238991,0.8845949,1.603942,0.1915644,-0.02770883,0.05383154,-1.005192,0.432834,1.08329,0.09974909
0.0249674,1.736313,1.695971,-1.147775,-0.02578247,0.05223438,-1.00236,0.4761853,1.125634,0.07109214
0.0299579,1.020777,2.789873,-0.9666926,-0.01983063,0.05579556,-1.001405,0.5067656,1.209213,0.04213206
0.0269547,0.8333178,2.115544,-0.2260775,-0.02136298,0.05276114,-1.005122,0.5292274,1.266237,0.03603821
0.0278994,1.437845,2.357112,-0.5804438,-0.02137586,0.05055063,-1.003176,0.5693424,1.331999,0.01984417
0.0279365,1.526676,3.472107,-0.3140677,-0.01445689,0.05655853,-1.002315,0.6119924,1.428998,0.01107022
0.0329144,1.743032,2.037316,0.8254821,-0.01710531,0.05338566,-1.00433,0.6693633,1.496055,0.03824047
0.0289567,1.908259,1.942087,0.5429026,-0.016169,0.05165305,-1.000163,0.7246202,1.552291,0.05396114
0.0249669,1.33273,2.841125,0.3261703,-0.01287885,0.04958587,-0.9991567,0.7578943,1.623225,0.0621046
0.0278899,0.5577424,4.821805,0.1738309,-0.01209935,0.05022987,-1.003678,0.7734497,1.757705,0.06695273
0.0229728,0.6425472,4.509719,-0.0379204,-0.008576597,0.05097156,-1.00265,0.7882107,1.861305,0.06608159
0.0249312,0.8554881,2.921635,0.4635823,-0.008925579,0.0491445,-1.003524,0.8095391,1.934145,0.07763925
0.0249482,1.008328,4.490476,0.397076,-0.008137738,0.04771318,-1.00806,0.834695,2.046175,0.08754559
0.031891,1.276825,7.794179,-0.4990147,-0.001253812,0.04856021,-1.002209,0.8754143,2.294739,0.07163151
0.0279338,0.6660777,6.073529,0.7850881,0.005096053,0.04480001,-1.001545,0.8940203,2.464396,0.09356201
0.0249348,0.1457395,6.577995,1.298471,-0.0007148217,0.04125086,-1.004214,0.8976543,2.628417,0.1259391
0.0269615,0.1112215,8.450581,0.10062,0.004981644,0.04529352,-1.002401,0.900653,2.856257,0.128652
0.0229421,0.4512194,6.92428,0.04866905,0.01439862,0.04510685,-1.004617,0.9110049,3.015115,0.1297686
0.0248943,1.330507,3.619493,1.038851,0.009266671,0.0438542,-1.003339,0.944127,3.105219,0.15563
0.0259689,1.253073,3.70898,0.1263384,0.01083897,0.04507713,-1.002576,0.9766679,3.201538,0.1589109
0.024895,-0.4190871,9.024457,-0.860915,0.01932499,0.04887831,-0.9992598,0.9662347,3.426201,0.1374784
0.0259637,-1.049566,9.197652,0.413717,0.02487417,0.05089787,-1.00543,0.938984,3.665006,0.14822
0.0249,0.01572298,7.317432,1.152955,0.02398384,0.05087192,-1.002131,0.9393755,3.84721,0.1769286
0.0219741,0.05153204,7.680737,0.5788395,0.02530964,0.05172506,-1.001006,0.9405079,4.015988,0.1896481
0.0229393,-0.3672476,8.704023,-0.1626493,0.02924353,0.05102724,-1.003537,0.9320835,4.215652,0.185917
0.0229424,0.1067872,8.647103,-0.1780829,0.0373025,0.05021273,-1.004057,0.9345334,4.414037,0.1818314
0.0239371,0.3621645,7.447362,0.7225887,0.03886641,0.04641326,-1.000755,0.9432026,4.592306,0.1991281
0.0219741,-0.190157,8.540089,0.9108743,0.04171444,0.04449386,-1.003921,0.939024,4.779966,0.2191437
