DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0359063,-0.1049892,0.09784742,0.85504,-0.04039146,0.02509028,-1.006157,0.03336011,-0.00572397,-0.03527678
0.0329044,1.004582,-0.358475,-1.104259,-0.03789366,0.0272663,-1.001209,0.06641528,-0.01751937,-0.07161177
0.0289488,0.1068605,0.06172772,-0.4897185,-0.03153229,0.02436967,-1.001887,0.06950876,-0.01573243,-0.08578853
0.0318924,-0.3912874,0.1711971,0.7128202,-0.03967381,0.02080197,-1.003359,0.05702967,-0.01027254,-0.06305499
0.0329124,0.251169,0.3230091,-0.5812869,-0.03287447,0.02521987,-1.002142,0.06529625,0.0003584623,-0.08218654
0.0319122,0.2755312,0.126128,0.09403563,-0.03823596,0.0258104,-1.002816,0.07408906,0.004383484,-0.07918565
0.0279686,0.1489969,0.1840293,-0.2594702,-0.03486973,0.03142563,-1.000408,0.07825629,0.009530527,-0.08644266
0.0279285,-0.6728659,0.5270753,0.4850555,-0.03689242,0.03071261,-1.004727,0.05946416,0.02425095,-0.0728958
0.0278918,-0.1987405,0.2865874,0.2720405,-0.03847917,0.02935858,-1.004143,0.05392093,0.03224439,-0.06530809
0.0239365,0.1214753,-0.04647763,-0.4698298,-0.03667632,0.02984029,-1.001912,0.05682862,0.03113188,-0.07655418
0.032912,-0.3176689,0.5818282,0.06049269,-0.03385172,0.02900811,-1.003354,0.04637351,0.05028101,-0.07456324
0.0329361,-0.06350298,0.3290032,0.3542852,-0.03542763,0.02631451,-1.003269,0.04428196,0.06111709,-0.06289447
0.0378729,0.06370743,0.4004968,0.3102823,-0.03689734,0.0261818,-1.002675,0.04669475,0.07628506,-0.05114318
0.0309564,-0.3135853,0.6988693,-0.1673118,-0.03628181,0.02508665,-1.002798,0.03698727,0.09791954,-0.05632256
0.0298997,-0.3357834,0.6915912,0.02169384,-0.03236523,0.02902858,-1.005419,0.02694745,0.1185979,-0.05567392
0.0289232,0.5155362,0.7143038,0.5072108,-0.03496005,0.02728347,-1.001786,0.04185841,0.1392579,-0.04100376
0.0348806,-0.1072694,0.8412982,-0.7053567,-0.03495803,0.02948742,-1.002751,0.03811679,0.1686029,-0.06560702
0.0269529,-0.3260546,1.129311,-0.493864,-0.02996695,0.02901487,-1.001713,0.02932867,0.1990411,-0.07891808
0.0239405,-0.4199712,1.08566,0.4213812,-0.03373485,0.02790422,-1.002502,0.01927435,0.2250323,-0.06883001
0.0269315,-0.4331869,1.080381,0.1455001,-0.0340639,0.0289038,-1.006177,0.007607978,0.2541286,-0.06491147
0.0239034,0.300993,1.304074,-0.2694288,-0.03031157,0.02914843,-1.003677,0.01480273,0.2853004,-0.07135174
0.0249333,0.2611056,1.372338,-0.03578184,-0.02973481,0.02754037,-1.000127,0.02131296,0.3195173,-0.0722439
0.0249673,-0.3953098,1.182049,-0.08228614,-0.03162777,0.02658784,-1.00506,0.01144314,0.3490299,-0.07429836
0.0229029,0.04758092,1.390566,-0.183587,-0.02859675,0.02830397,-1.00403,0.01253288,0.3808779,-0.07850304
0.0279613,0.5722336,1.254773,0.2087191,-0.03018301,0.02682787,-1.003447,0.02853327,0.415963,-0.07266698
0.0258954,0.3976752,0.9523521,-0.2749145,-0.02982853,0.02559888,-1.00198,0.03883123,0.4406245,-0.079786
0.0259643,-0.2524399,1.484236,-0.4982448,-0.02607071,0.02853906,-1.000933,0.03227681,0.4791617,-0.09272258
0.0258952,-0.6404108,2.064413,0.2938378,-0.02786036,0.02782057,-1.00427,0.01569324,0.5326201,-0.08511359
0.0279263,-0.1940445,1.029357,0.3465813,-0.02872029,0.02903671,-1.004149,0.0102743,0.5613662,-0.07543486
0.0239703,-0.008150158,1.623238,0.07266353,-0.0224308,0.03013501,-0.9997749,0.01007894,0.6002757,-0.0736931
0.0229289,-0.2504324,3.08189,0.3962691,-0.0275052,0.03014085,-1.004127,0.004336797,0.67094,-0.06460708
0.0269022,-0.2131063,1.980848,-0.031166,-0.02592678,0.02916475,-1.003134,-0.001396232,0.7242292,-0.06544552
0.0259651,-0.3873652,1.146305,-0.5294431,-0.01659679,0.03063879,-0.998107,-0.01145421,0.7539932,-0.07919256
