DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0339093,-0.1327435,0.1777621,0.1535067,-0.05169779,0.03783701,-1.00302,-0.04545495,0.1073745,-0.006489195
0.0268944,0.164526,0.234541,-0.1909253,-0.04803768,0.03712006,-1.002858,-0.04103012,0.1136824,-0.01162402
0.0269282,0.1041466,0.0997627,0.08520254,-0.04638032,0.0390555,-0.9990243,-0.03822564,0.1163688,-0.009329665
0.0229456,-0.6795655,0.1925927,0.9096006,-0.04928437,0.04150366,-1.001985,-0.05381867,0.1207879,0.01154167
0.0259306,-0.1258193,0.264215,0.4090176,-0.05228159,0.03882895,-1.005717,-0.05708124,0.1276392,0.02214774
0.029887,0.8547,-0.05766372,-0.5256134,-0.04809967,0.04136571,-0.9987841,-0.03153683,0.1259158,0.006438732
0.0289227,-0.2247066,0.06364655,-0.04175383,-0.04793548,0.04237075,-1.002943,-0.03803595,0.1277566,0.005231099
0.0279255,0.08168539,0.1327615,0.1346484,-0.04940502,0.03881168,-1.001147,-0.03575484,0.1314641,0.008991224
0.0249575,-0.1147132,0.1067936,0.08643247,-0.04785508,0.03916448,-0.9980609,-0.0386178,0.1341294,0.01114836
0.0279324,-0.9300937,0.08063691,0.3253295,-0.05059029,0.04078489,-1.004947,-0.06459755,0.1363818,0.02023559
0.027915,-0.05672621,0.05199337,0.1061347,-0.05154952,0.03907719,-1.005829,-0.06618106,0.1378331,0.02319834
0.0259102,0.8181395,0.009470285,-0.499836,-0.04988248,0.037592,-1.001651,-0.0449829,0.1380785,0.01024749
0.0239686,0.1221145,0.1411028,-0.1324678,-0.04635946,0.03894572,-1.000863,-0.04205598,0.1414606,0.007072425
0.028892,-0.5579689,0.2827859,0.5241389,-0.05167051,0.03748636,-1.005351,-0.05817682,0.1496308,0.02221585
0.02992,0.3420155,0.303014,-0.3692265,-0.04769447,0.04004499,-1.001853,-0.04794371,0.158697,0.01116859
