DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.026921,0.9989502,0.03079804,0.1495883,-0.04355925,0.04079104,-1.001062,0.2268287,-0.2728828,0.439109
0.0269392,0.4810983,0.03587142,0.5174803,-0.04601039,0.03905959,-0.9993875,0.2397891,-0.2719165,0.4530495
0.0268923,-0.4709305,0.03556374,0.02190875,-0.04631615,0.03799288,-1.004424,0.2271247,-0.2709601,0.4536387
0.0279253,0.6843461,0.04049044,-0.4483391,-0.04486792,0.0387245,-1.003298,0.2462352,-0.2698294,0.4411187
0.0259659,0.5411489,0.06960785,0.009446311,-0.04588943,0.03930429,-0.9993843,0.2602867,-0.268022,0.441364
0.0259231,-0.451351,0.196078,0.09205689,-0.04680586,0.04117128,-1.005389,0.2485862,-0.262939,0.4437504
0.0269277,0.4144816,0.3434599,-0.2780313,-0.04399903,0.04069549,-1.005358,0.2597473,-0.2536905,0.4362636
0.0239691,0.8716673,0.2035863,-0.2279594,-0.04554845,0.0421055,-0.9981351,0.2806403,-0.2488107,0.4307996
0.0259321,-0.7948499,0.474433,-0.5044177,-0.04592265,0.04417919,-0.9981253,0.2600282,-0.2365076,0.417719
0.0239341,-1.505761,0.8983065,-0.6707441,-0.04147689,0.0490049,-1.00478,0.2239892,-0.2150075,0.4016654
0.0339099,-0.7528725,0.628153,0.04022,-0.04236458,0.05069378,-1.002327,0.1984594,-0.1937069,0.4030292
0.0359041,-0.4694382,0.5478011,0.2009178,-0.04512573,0.04556794,-1.00448,0.1816046,-0.1740386,0.410243
0.0319486,0.1862206,0.5921053,-0.6509904,-0.04391817,0.04177259,-1.00204,0.1875541,-0.1551217,0.3894448
0.0299202,0.2784488,0.7207169,-0.4000561,-0.03937037,0.03936676,-1.00433,0.1958853,-0.1335577,0.377475
0.0278895,1.014852,0.7176439,0.8676597,-0.0418351,0.03762711,-1.00143,0.2241891,-0.1135429,0.4016736
0.0288844,0.6141781,0.6468527,0.4893328,-0.04395749,0.03868949,-0.9974039,0.2419292,-0.09485898,0.4158077
0.0309149,-0.4189477,0.6975368,-0.2952038,-0.04071737,0.03972455,-1.003976,0.2289775,-0.0732947,0.4066815
0.0289238,0.1352514,0.9303728,-0.01432392,-0.04170471,0.03959073,-1.002886,0.2328895,-0.04638478,0.4062672
0.0289233,0.2032896,1.383801,-0.1416296,-0.04001881,0.04288952,-1.002107,0.2387693,-0.006360684,0.4021708
0.0249667,-0.07000785,1.582691,0.1440805,-0.03661883,0.0448539,-1.00144,0.2370214,0.03315389,0.405768
0.0259302,0.122476,1.808981,0.7223991,-0.0395312,0.04497194,-1.002823,0.2401972,0.08006114,0.4245
0.0219709,-0.03090249,1.453647,0.6988112,-0.03920976,0.04653762,-0.9993757,0.2395183,0.1119991,0.4398535
0.0249201,-0.9351499,1.315607,0.5713349,-0.03747997,0.04704831,-1.001557,0.2162143,0.1447841,0.4540912
0.021948,-1.141287,1.488369,0.5725536,-0.03782239,0.04595946,-1.003285,0.1911653,0.1774509,0.4666576
0.0249205,-0.6737287,1.154029,0.3544798,-0.03756159,0.04548126,-1.004634,0.1743756,0.2062098,0.4754914
0.0249089,0.1319735,0.8330534,0.1202709,-0.03769403,0.04571913,-1.003776,0.1776629,0.2269603,0.4784873
0.0249669,0.6306787,0.6320614,-0.2114439,-0.03686979,0.04423669,-1.000589,0.193409,0.2427409,0.4732082
0.0259281,-0.1282323,0.5583557,-0.2921118,-0.03480821,0.04509556,-0.9998224,0.1900842,0.257218,0.4656343
0.0239363,-0.7347941,0.751681,0.1510314,-0.03426835,0.04366069,-1.003993,0.1724959,0.2752104,0.4692494
0.0259326,-0.2189148,0.8719123,0.6084965,-0.03498122,0.0413437,-1.004876,0.1668189,0.2978214,0.4850293
0.0239347,0.4718456,0.8139383,0.4933779,-0.03682963,0.04034497,-1.002822,0.1781124,0.3173028,0.4968381
0.0219408,0.6662871,0.7701123,-0.1177124,-0.03648822,0.04033184,-1.000611,0.1927313,0.3341996,0.4942554
0.0249266,0.6566884,0.9546208,-0.721186,-0.03216971,0.04038123,-1.005094,0.2091003,0.3579951,0.4762787
0.0239447,1.272163,0.5680072,-0.6455767,-0.03496209,0.04098812,-1.006472,0.2395618,0.3715959,0.4608206
0.0289243,2.561602,0.6525083,-1.39797,-0.03595986,0.03803341,-1.00344,0.3136544,0.3904692,0.4203853
0.0288845,2.510478,0.818324,-1.693048,-0.02930105,0.03962493,-0.9995479,0.3861683,0.4141061,0.3714824
