DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0328968,-0.03078939,0.3169931,-0.3002411,-0.01697816,0.07632256,-1.001964,0.2998717,0.2249579,-0.1884497
0.0289578,0.3749338,0.5859243,-0.3617841,-0.0127211,0.0774362,-1.001292,0.310729,0.241925,-0.1989262
0.025895,0.2405765,0.9787522,0.8196347,-0.01593229,0.07800948,-0.9978945,0.3169587,0.2672697,-0.1777017
0.0309172,-0.2439129,0.8789051,-0.1310816,-0.01662933,0.07717053,-1.000728,0.3094176,0.294443,-0.1817544
0.0279571,0.1763176,0.9725818,-0.2560357,-0.0073956,0.07848789,-1.008942,0.314347,0.3216336,-0.1889124
0.0268998,0.1320712,1.044134,1.384086,-0.01804194,0.07401294,-1.004199,0.3178996,0.3497206,-0.1516808
0.0259307,0.2486762,0.3631925,-0.3786641,-0.01529795,0.07900604,-1.000454,0.324348,0.3591384,-0.1614998
0.025964,0.6211967,1.834495,-0.04994084,-0.008104505,0.08283076,-1.001566,0.3404768,0.4067693,-0.1627965
0.0288825,-0.7351205,1.712681,1.500442,-0.02048581,0.07216351,-1.003139,0.3192446,0.4562358,-0.1194599
0.033949,0.4114252,0.4042505,-0.4331935,-0.006842189,0.07625385,-1.003067,0.3332121,0.4699597,-0.1341664
0.0329167,1.695586,0.5498614,-0.08083704,-0.01521414,0.07306033,-1.005888,0.3890252,0.4880593,-0.1368273
0.0259279,1.154442,0.6166399,-0.6709496,-0.005627111,0.07214519,-0.9902098,0.4189574,0.5040475,-0.1542236
0.0268927,-1.868744,1.136105,0.634609,-0.009894245,0.07807387,-1.003459,0.3687019,0.5346004,-0.1371573
0.0279228,-0.6833021,1.421126,0.8185118,-0.010915,0.07860484,-1.010577,0.3496222,0.5742822,-0.1143022
0.02693,1.974624,2.13976,0.02350889,-0.006904592,0.0789084,-0.9983913,0.4027988,0.631906,-0.1136691
0.0269252,-1.018355,2.009874,1.112696,-0.0135576,0.07181355,-1.00085,0.3753794,0.6860222,-0.08370949
0.0269287,-1.547152,1.372707,0.1771479,-0.001482306,0.08080205,-1.004073,0.3337166,0.7229874,-0.07893913
0.0279236,-0.287374,0.8486612,0.5346014,-0.007025849,0.07616677,-1.008463,0.3256921,0.7466851,-0.06401113
0.0278883,0.8724843,2.100027,0.03240925,-0.003571854,0.07674456,-1.001185,0.3500242,0.8052513,-0.0631073
0.0249669,0.8198544,1.092294,-0.08628053,-0.0007992648,0.07429011,-0.9973682,0.3704934,0.8325225,-0.06526145
0.0239344,-0.2417186,0.5206372,0.58719,-0.002037145,0.07513019,-0.9960292,0.364708,0.8449836,-0.05120741
0.025934,-0.1189937,1.296483,0.7301731,-0.007736578,0.07568667,-1.010191,0.3616221,0.8786066,-0.0322711
0.0249129,1.497823,1.482561,-0.3773353,-9.815674E-05,0.07513152,-0.9949024,0.3989372,0.9155415,-0.04167162
0.0299218,-0.07540876,1.4216,0.4798081,-0.002380173,0.07453047,-0.9978762,0.3966808,0.9580784,-0.0273149
0.0259549,-0.7110558,2.047663,0.7219816,-0.003039125,0.07640675,-1.005103,0.3782254,1.011225,-0.008575937
0.0239099,0.9212399,2.633913,0.1596544,0.003092475,0.08237776,-0.9992263,0.4002522,1.074202,-0.004758616
0.0239752,0.7833301,3.745616,1.011905,0.003278557,0.07421798,-1.0021,0.4190327,1.164004,0.01950201
0.0219392,0.5424433,3.091722,1.504217,0.003745444,0.07738925,-1.001337,0.4309335,1.231834,0.05250332
0.0229273,0.7778299,2.806682,1.557299,0.003149356,0.07568154,-1.001969,0.448767,1.296183,0.08820798
0.0219516,0.9344704,3.424989,0.7961373,0.003805969,0.07350983,-1.005408,0.4692801,1.371367,0.1056845
0.0209336,0.7086155,5.451007,0.2525941,0.01395887,0.07484674,-0.9975525,0.484114,1.485476,0.1109722
0.0239692,-0.2158459,3.965017,1.520752,0.006580177,0.07166823,-1.001954,0.4789403,1.580515,0.1474234
0.0259024,0.1825342,1.672329,1.136228,0.01133848,0.07181317,-1.002141,0.4836684,1.623832,0.1768544
0.0209767,0.7187585,1.091225,0.9613411,0.007092828,0.07327627,-1.004756,0.4987456,1.646722,0.1970202
0.0229364,1.766678,1.795336,0.2205989,0.01119006,0.0753455,-1.001015,0.5392668,1.687901,0.2020799
0.0219616,1.653513,2.127146,0.129038,0.009622874,0.07082155,-1.001065,0.5755806,1.734616,0.2049138
0.022922,0.9872295,1.920578,-0.2744252,0.01361919,0.06935409,-0.9979622,0.5982099,1.77864,0.1986234
0.0219531,-0.6041644,2.428298,0.02048515,0.01689955,0.07107459,-0.9974201,0.5849466,1.831949,0.1990731
0.0239238,-1.173392,1.969595,0.8315708,0.01297486,0.07368667,-1.007379,0.5568746,1.879069,0.2189675
0.0219442,0.4383836,4.40807,0.1627481,0.01206088,0.07548205,-1.002597,0.5664945,1.9758,0.2225388
0.0288955,0.8543513,7.370848,-1.683879,0.01870815,0.06857353,-1.005628,0.5911815,2.188785,0.1738823
0.0309527,-0.2824562,11.11171,-1.977414,0.02763823,0.07668284,-0.9889155,0.5824386,2.532722,0.112676
0.025893,-1.745835,4.451808,0.2114341,0.02245603,0.06857072,-1.002641,0.5372338,2.647993,0.1181507
0.0239373,-0.7501072,0.5308632,0.09847595,0.03256069,0.07594793,-1.00357,0.5192782,2.6607,0.1205079
0.0239376,0.5673257,1.098561,1.213267,0.03209205,0.07693631,-1.005653,0.5328587,2.686997,0.1495506
0.0219067,1.359688,1.775778,1.278193,0.02229352,0.07087079,-0.9998074,0.562645,2.725898,0.1775516
0.029951,-0.7918232,3.562262,0.1150376,0.03416505,0.0702149,-1.003222,0.538929,2.832592,0.1809971
0.0309215,-1.374509,5.539855,0.3832244,0.0304637,0.07543478,-1.00127,0.4964272,3.003892,0.192847
0.0309138,0.06180147,4.455982,0.01937344,0.04013827,0.07489036,-1.004588,0.4983377,3.141644,0.1934459
0.0249309,0.6996943,4.597993,0.8710461,0.03958566,0.07509379,-0.9988323,0.5157817,3.256276,0.2151619
