DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0299089,-0.2347626,0.07075869,-0.5467631,-0.02715241,0.0034078,-1.00443,-0.1047824,-0.05780362,0.1240979
0.0299219,-0.09451696,0.2234333,-0.1748553,-0.02655745,0.004380581,-1.003435,-0.1076105,-0.05111807,0.1188659
0.0329351,-0.3790854,0.1931355,0.0638466,-0.02679135,0.004263155,-1.004297,-0.1200957,-0.04475714,0.1209687
0.0269059,-0.1362737,0.2515638,0.3722202,-0.02694393,0.00375462,-1.00136,-0.1237623,-0.03798858,0.1309836
0.0269291,-0.7672742,0.338522,0.4244065,-0.0276585,0.00253796,-1.002481,-0.1444243,-0.02887249,0.1424125
0.0239378,-0.7381899,0.2456696,0.1631826,-0.02617137,0.003415434,-1.004908,-0.1620949,-0.0229917,0.1463187
0.0259299,0.3250657,-0.1775595,0.05179125,-0.02850915,0.004493949,-1.003458,-0.153666,-0.0275958,0.1476617
0.024934,0.3673975,-0.1659474,-0.331119,-0.0267169,0.00558113,-1.000487,-0.1445053,-0.03173354,0.1394056
0.0269629,-0.5594745,-0.02933079,-0.06196461,-0.02753513,0.005231588,-1.003564,-0.1595904,-0.03252438,0.1377348
0.027925,0.2357744,-0.2164426,-0.1855223,-0.02898042,0.003767507,-1.004695,-0.1530064,-0.03856853,0.1325541
0.0259005,0.7542946,-0.300097,-0.6194661,-0.02707622,0.00497157,-1.000863,-0.1334698,-0.0463412,0.1165096
0.0309157,-0.1012089,0.1217517,-0.08361928,-0.02571526,0.00486696,-1.002563,-0.1365987,-0.04257716,0.1139245
0.0279249,-0.3903665,0.3331209,0.8817277,-0.02498073,0.004504814,-1.002679,-0.1474997,-0.03327479,0.1385466
0.0279615,-0.6327054,0.2586893,1.501735,-0.0295829,0.003646808,-1.005316,-0.1651911,-0.02604145,0.1805374
0.027915,-0.1048597,0.2532007,0.2956545,-0.02983457,0.003885774,-1.004704,-0.1681182,-0.01897335,0.1887906
0.0289306,0.37147,0.1132047,-0.3270927,-0.0250897,0.005001601,-1.004026,-0.1573714,-0.01569828,0.1793276
0.0298882,-0.2219553,0.08509732,0.737324,-0.02585328,0.004122471,-1.000854,-0.1640052,-0.01315487,0.2013649
0.0258961,-0.9577988,0.2560782,0.9491948,-0.02909879,0.003891501,-1.005063,-0.1888085,-0.006523443,0.2259453
0.0239678,-0.2080095,0.3270112,0.1087956,-0.02765127,0.0054793,-1.004176,-0.193794,0.001314296,0.2285529
0.0249009,0.1870254,0.4380139,-0.2555236,-0.02621167,0.006328072,-1.002314,-0.1891369,0.01222124,0.2221902
0.0289218,-0.8123547,0.5177591,0.4862287,-0.02315144,0.005859112,-1.003138,-0.2126316,0.02719576,0.2362528
0.0229386,-0.7532333,0.5826843,1.111386,-0.03041815,0.004143608,-1.007161,-0.2299098,0.04056172,0.2617464
0.024965,0.5189914,0.6556647,-0.3289287,-0.03020854,0.005225353,-1.004454,-0.2169531,0.05693039,0.2535347
0.027894,0.03536634,0.8103641,-1.149936,-0.02149634,0.006324701,-0.9985796,-0.2159666,0.07953469,0.2214584
0.0249338,-1.512876,0.8324314,0.1753929,-0.02217384,0.006721288,-1.003611,-0.2536884,0.1002904,0.2258316
0.0249575,-0.2994016,0.5909653,0.1165089,-0.0282224,0.005010408,-1.007496,-0.2611607,0.1150394,0.2287394
0.0209425,0.7227515,0.475988,-0.8269317,-0.02353705,0.005356049,-1.001185,-0.2460245,0.1250078,0.2114213
0.0269177,0.07227597,0.3605976,-0.3363268,-0.02326591,0.003660353,-1.003032,-0.244079,0.1347142,0.2023682
0.0248985,-0.5239104,0.3212682,0.1641573,-0.02474419,0.006337065,-1.002664,-0.2571236,0.1427133,0.2064555
0.0239702,-0.07414836,0.2781547,-0.152734,-0.02655507,0.005483379,-1.00404,-0.2589009,0.1493807,0.2027944
0.0239353,-0.07981445,0.5323793,-0.6834248,-0.0234162,0.0059678,-1.001302,-0.2608113,0.1621234,0.1864364
0.0258971,-0.5880523,0.7103769,-0.4231347,-0.02106108,0.007347235,-1.005186,-0.2760401,0.1805201,0.1754785
0.0269572,-0.1134231,0.4115929,-0.08018097,-0.02703828,0.006707715,-1.004896,-0.2790977,0.1916155,0.173317
0.0239075,-0.08592457,0.5986038,-1.125394,-0.02266259,0.008309398,-1.004096,-0.281152,0.2059266,0.1464117
0.0239709,0.07473693,0.9363711,-0.9125133,-0.02010053,0.007709622,-1.003946,-0.2793604,0.2283723,0.1245379
0.0229051,-0.1164477,0.9766594,-0.177045,-0.02646678,0.007421581,-1.001697,-0.2820277,0.2507427,0.1204827
0.0219733,-0.8430234,1.269572,-0.9030538,-0.0204981,0.007811206,-1.001131,-0.3005517,0.2786394,0.1006396
0.0229059,-1.563695,1.497889,-0.697566,-0.01485836,0.008833366,-1.00412,-0.3363695,0.3129499,0.08466123
0.0239597,-1.33875,1.125663,1.022939,-0.01872807,0.008468576,-1.006989,-0.3684456,0.3399205,0.1091705
0.0239647,0.152829,0.4747037,1.101192,-0.02350247,0.006233552,-1.004611,-0.3647831,0.3512966,0.1355603
0.0239666,0.3762019,0.1780488,0.04538697,-0.02217433,0.006843366,-1.00361,-0.3557668,0.3555638,0.136648
0.0299434,0.1878809,0.4399035,-0.209126,-0.0197469,0.007703875,-1.002839,-0.350141,0.3687361,0.1303861
0.0249357,-0.2651178,0.590681,0.3001125,-0.01731392,0.008200611,-1.002438,-0.3567519,0.3834651,0.1378696
0.0229516,-0.5100737,0.2964764,1.134821,-0.01848198,0.007247249,-1.006749,-0.368459,0.3902697,0.1639156
0.0238992,0.7042886,-0.1509178,1.035377,-0.02241936,0.006107353,-1.00325,-0.351627,0.3866629,0.1886603
0.0219979,0.5935044,-0.1431562,0.22941,-0.01976282,0.007939009,-1.001489,-0.3385712,0.3835138,0.1937068
0.0228821,-0.2764178,0.1356518,0.4572164,-0.01756485,0.008929527,-1.002068,-0.3448962,0.3866178,0.2041689
0.0219571,-0.6149455,0.4440073,0.7859914,-0.02243386,0.009035571,-1.002985,-0.3583986,0.3963669,0.221427
