DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0279496,0.7154843,0.1210266,-1.009689,-0.04785198,0.04516268,-1.000471,0.1765994,0.04426202,-0.1523666
0.0278915,0.3552906,0.1782753,-0.1385573,-0.05139237,0.04575646,-1.000387,0.186509,0.04923439,-0.1562312
0.0289248,0.1480583,0.2042213,-0.4286118,-0.05151125,0.05040798,-1.002318,0.1907915,0.05514145,-0.1686287
0.0269253,0.5282049,0.128069,-0.6490372,-0.05356736,0.05089851,-1.004056,0.2050136,0.05858975,-0.1861042
0.0369032,1.675977,0.05791137,-1.094707,-0.04797225,0.04846724,-1.001798,0.2668625,0.06072686,-0.2265024
0.0329376,0.8880485,0.1518573,-0.365774,-0.05150623,0.04306857,-1.000162,0.2961127,0.06572868,-0.2385501
0.0298913,0.04727321,0.2705692,-0.5148855,-0.05012976,0.04113772,-1.00261,0.2975258,0.07381634,-0.2539407
0.0279256,0.749267,0.1590515,-0.4615692,-0.05059258,0.03796891,-1.003741,0.3184495,0.07825795,-0.2668303
0.028922,1.280097,0.1363375,-0.6166373,-0.04978012,0.03941633,-1.000534,0.3554725,0.0822011,-0.2846647
0.0249639,0.3303613,0.1722696,-0.2026125,-0.04846143,0.04271267,-0.9996373,0.3637196,0.08650162,-0.2897227
0.0279191,-0.6552848,0.4690765,0.08462722,-0.05197028,0.04528347,-1.003094,0.3454246,0.09959781,-0.28736
0.0318893,0.1118976,0.7367644,-0.7468224,-0.04868521,0.04786344,-1.003282,0.3489929,0.1230927,-0.3111756
0.029921,0.2965267,0.3299578,-0.4591523,-0.04788595,0.04954763,-0.9989702,0.3578653,0.1329654,-0.3249139
0.029937,-0.08393949,0.3870607,-0.1329205,-0.04686881,0.04700721,-1.001795,0.3553524,0.1445528,-0.3288932
0.032951,0.5850645,0.5017596,0.08730419,-0.05062138,0.04174511,-1.00249,0.3746309,0.1610863,-0.3260164
0.0398949,0.5465885,0.5172119,-0.2397743,-0.04686004,0.03636597,-0.9988036,0.396437,0.1817204,-0.3355822
0.0438818,-0.3750001,1.281385,0.1598534,-0.04696653,0.03759851,-1.000635,0.3799813,0.2379499,-0.3285675
0.0588388,0.5636555,0.6619654,-0.7818972,-0.04830989,0.04077309,-1.00161,0.4131461,0.2768992,-0.3745734
0.0339377,0.2642382,0.6998638,-0.5009147,-0.04516794,0.04590958,-1.000801,0.4221138,0.3006509,-0.3915733
0.0318862,-0.2020248,0.5679417,0.005668139,-0.04565202,0.04701102,-1.001535,0.415672,0.3187604,-0.3913926
0.0279516,-0.1744295,0.5896536,0.1233075,-0.04463651,0.04826321,-1.005559,0.4107964,0.3352422,-0.387946
0.0289369,0.4852189,1.438305,-0.3577588,-0.03995033,0.04738561,-0.9988886,0.4248371,0.3768623,-0.3982984
0.0318795,0.3842695,1.885299,-0.7853798,-0.04221998,0.04201945,-1.001282,0.4370875,0.4369647,-0.4233359
0.0279538,0.2969827,1.44242,-0.3995339,-0.04347818,0.03978791,-0.9970227,0.4453893,0.4772858,-0.4345044
0.0268989,-0.02786112,2.012449,-0.02489625,-0.04740293,0.03970773,-1.006019,0.4446398,0.5314184,-0.4351741
0.0269284,0.1510028,1.867687,-0.5476286,-0.03744444,0.04058395,-1.00246,0.4487061,0.5817122,-0.4499208
